Gene	RASMC_RNA_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
Hecw1	0.523741583248193	0.647323946553527	0.119176359841727	0.363346306333838	0.102980695737524
Hecw2	1.02296284209874	2.23351439581391	0.118215720835747	1.34434403862095	0.448487031855192
Hells	0.400802014592962	0.176065336753801	0.475016530227034	0.163977126112061	0.167195819668838
Helq	2.87832115773211	1.44714959454508	1.59059119346165	3.11483956825308	3.29615574583124
Helz	7.63987301074442	7.02832524316869	7.35759861605577	9.17252846306757	4.42119536334857
Helz2	2.0433697878435	11.9704997925199	4.78204246110714	3.52940811885615	1.31953002579845
Hemgn	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hemk1	4.22059238027272	1.9365119439833	1.08238736235764	4.92490500823967	2.95412411282112
Henmt1	0.310212593485983	0.131022330775358	0.098297340330552	0.332852769365127	0.275580636439986
Hepacam2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Heph	0.104353251562583	0.103974313502366	0.105087874963832	0.112350552298829	0.0960953541056627
Hephl1	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Herc2	9.02569305900571	5.58076376674071	7.59337199975262	11.0122808747234	9.40794425555614
Herc3	3.09510008829017	4.35410693842229	3.31648652029231	10.5348859202972	3.68934261321513
Herc4	13.428161236671	14.3447634480205	16.5769340802272	15.9113083501886	13.7200607392395
Herpud1	72.7145029135366	128.896646404629	106.670514911813	70.8959367423809	56.3512328851166
Herpud2	34.4995254757347	22.0452051820799	27.2074494855559	29.6869463101957	26.0432873554856
Hes1	5.19275714897184	10.352864108726	5.57547828512908	11.38059779391	11.030471093793
Hes2	0.10123596758438	0.102643633265661	0.096094564208688	0.378966783767203	0.0935859960967177
Hes3	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hes5	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Hes6	24.1397872282151	17.6117264000104	9.82744851125482	41.0538168056265	17.04319272352
