RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
Acp2	5.01508859153638	5.93860487185447	0.243848859089838	0.334365046226934
Acp5	3.24443770359735	5.21900809522122	0.685807174609525	0.0962134644225653
Acp6	11.2065030393596	8.1453394375969	-0.460289433075964	0.00332491259696547
Acpp	0.0911974910503535	0.117792484815271	0.369181458043889	0.472546881225434
Acpt	1.08657645134155	0.104427265220465	-3.37921934220202	0.0327032383807455
Acrbp	0.857580737740996	1.15052734966569	0.42395087220873	0.535604779101427
Acsf2	6.66719882537356	4.66863280087124	-0.51408062935028	0.0236889463498093
Acsl1	17.3600979975584	9.44216592055292	-0.878585352058286	0.0244805023666951
Acsl3	89.6430398897671	56.2614600572136	-0.672044580054728	0.00014361183966109
Acsl4	54.5066840258411	108.989005032914	0.999677541065201	0.00543779875568771
Acsl5	34.8836433851593	31.6387790805678	-0.14085680049542	0.382931225148678
Acsm3	0.445544479540978	0.448150597076521	0.00841415288157588	0.991372543559225
Acss2	24.0260139232239	17.2621262907099	-0.47698713375224	0.0376463724176143
Acss3	0.549624559492438	0.264480076532086	-1.0552874239489	0.554981787383153
Acta1	51.1810573017681	1.85024183060687	-4.78982419943904	0.000408851226831366
Acta2	6198.40512074431	87.9340416264	-6.13933146124124	0.000277003223582167
Actb	6234.51748676033	2914.35155982952	-1.09710298767303	0.00165059687803296
Actbl2	2.78267980197754	0.910434353292771	-1.61184800906854	0.116445605918699
Actg1	3251.95643756019	1983.79112253259	-0.713047802161851	0.00422427917926828
Actg2	6.06438212046803	0.23830293813598	-4.66949201714258	0.00141032401983057
Actl6a	20.9085125133998	29.0766237548465	0.475769331346879	0.0765305469379496
Actl7a	0.191100967979772	0.27742739161213	0.537775152258486	0.50735502520981
Actl7b	0.478560362127858	0.168887736950017	-1.50263633035765	0.216192791853935
Actn1	684.453131797722	255.120196093252	-1.42377464414156	0.00274989723890815
Actn4	489.995494161096	292.121802223796	-0.74619844642256	0.00281252540630172
Actr10	89.0320106233045	100.588458098703	0.176068732422182	0.220491333111391
Actr1a	62.4831462255901	93.0048454057977	0.573838780712393	0.0561057374741006
Actr1b	46.4581754494208	39.503229853958	-0.233961880927688	0.156189835107204
Actr2	129.044854120572	216.306987665442	0.745207658736195	0.0381946993942295
Actr3	162.184385448906	150.365057788128	-0.109165579711236	0.405300572451835
Actr3b	10.9155348442049	9.78172355680138	-0.158222223792084	0.325636298210643
Actr5	1.872032896713	3.55036014087624	0.92335958869152	0.101079301335438
Actr6	9.98195243761683	29.7332238487974	1.57468196234013	0.000351008185296273
Actr8	8.3463528057591	24.5253147664024	1.55505384195207	0.0019158270896822
Actrt3	0.120053782708549	0.109151251627574	-0.137352187690633	0.744689139877494
Acvr1	24.8125692709112	9.17819564152205	-1.43478866539237	0.00044824125422838
Acvr1b	2.2505341025169	2.21434644617363	-0.0233864691359389	0.949767959653137
Acvr2a	8.02059256405492	3.48063128976182	-1.20435983282594	0.00322604036596322
