BRD4_UNSTIM	BRD4_2H	BRD4_24H
Hacl1	7321.13165	6179.3673	11915.49185
Hadh	1030.5128	946.6122	1383.47425
Hbp1	5036.9115	5077.64045	5288.00105
Hddc3	5062.61765	4896.4677	7739.59835
Hdgfrp2	5965.5053	5666.57955	8508.6477
Hebp2	2804.7356	2489.45325	4514.2437
Helq	926.1897	1035.3236	1121.11405
Herc2	2722.12595	2291.06035	2311.51765
Hexdc	4467.3001	3876.25835	6072.665
Hexim1	14788.0276	13472.6123	20675.1435
Hey2	12621.0468	10859.9575	11931.88905
Hist3h2a	2801.12325	2681.00065	3881.0494
Hmbs	4570.7632	4181.3038	5966.8154
Hmg20a	5566.8789	5281.86385	4895.85735
Hoxa2	11872.7731	9543.05515	17405.5101
Hp1bp3	2958.6786	3158.0818	4087.02475
Hps1	2385.18635	1985.3363	3888.07705
Hps3	1896.43255	1976.95375	1761.9071
Hrasls	3877.39235	4166.39205	4856.3333
Hsd3b7	9241.88045	9061.72305	12380.0789
Hsdl2	948.3027	1180.7512	1136.5765
Hyal2	8605.12195	8282.8294	12005.07525
Ick	1728.9921	2011.5714	2125.05455
Idh2	6749.5508	5691.7652	10567.0136
Idua	2152.99095	2096.8075	2776.6684
Iffo1	5757.6629	5466.5391	8544.1898
Ift172	2577.2381	3363.93175	3798.6435
Ift22	987.7433	802.53335	1428.04945
Ift46	6831.92745	8860.5795	10088.51675
Ift52	3658.922	3591.07845	5691.7231
Ift81	6083.33905	4997.7186	8298.2412
Igbp1	389.6122	347.49735	527.0545
Ighmbp2	13647.9961	12219.31815	18257.44785
Ikbkap	3050.16915	2403.1642	2921.23175
Ikbke	4722.1452	5281.204	6700.638
Il10rb	4916.99275	4553.37805	6404.8041
Ing1	2868.18685	2745.8155	3777.14395
Ing4	3202.9198	2915.94315	3528.3288
Inha	4223.44085	3565.66255	5206.4505
Inpp5f	5387.27435	5383.19315	6806.6962
Ints4	2655.69595	2265.84945	3584.67745
Iqsec2	3213.52655	2428.8911	3495.2699
Irak4	1281.95425	1695.40225	1526.39255
Irf2bp1	4554.79065	4726.2097	7232.0683
Isoc1	511.13835	373.53015	679.3546
Isoc2b	3461.71455	3329.9451	4731.546
Itga8	5025.36995	5517.0951	5647.2389
Itpkb	3143.98705	2908.9042	4433.54055
Ivd	2138.94535	2243.9396	3380.3858
Jag1	13811.63745	10644.9254	17053.59875
Jkamp	1780.022	1423.3033	2373.9693
Josd1	5830.92635	5519.39675	8634.0532
Kalrn	5611.1146	5848.75555	7186.41375
Kank2	11770.8777	10563.0202	18087.2575
Kat2a	1876.29385	2158.839	2694.793
Kbtbd4	5147.6393	5247.3569	5578.46025
Kdelc1	6863.24275	5274.87075	6516.5563
Kdm1b	1988.6967	2250.06135	2349.0843
Kdm4a	1835.08055	1761.7024	2644.5593
Kdm4b	5730.1585	6077.0378	8342.26435
Kif16b	1370.2942	1059.02765	1624.2882
Kif18a	893.54855	902.33575	1245.0545
Kif1bp	1063.27735	1208.14165	1392.7248
Kifap3	1801.3232	1674.31225	1917.01675
Klc4	10804.97615	10790.6475	15354.0195
Klf15	4034.3424	3051.1186	5122.5326
Klf2	6171.70245	4885.4918	10207.7566
Klf3	4809.7788	4773.82185	5997.2705
Klhl17	2604.2324	2613.1183	4031.15125
Klhl20	1472.8223	1443.59135	1832.9765
Klhl22	3475.37795	3834.08995	4385.31775
Klhl24	2021.60985	1661.30485	2486.91705
Klhl31	3187.7098	3655.43345	4788.33
Kmt2e	15628.22495	16082.9745	17287.07965
Krcc1	2526.5083	1976.0055	2632.83825
L2hgdh	1168.93345	1151.904	1586.6684
L3mbtl2	1355.82115	1649.08715	2455.22565
Lactb2	1267.3046	1036.72265	1891.35115
Lancl1	726.6009	476.91845	975.60665
Lars2	3101.1741	2720.9383	3197.8459
Ldb1	9635.59245	9438.78075	13123.7789
Ldhd	5794.036	5503.43635	7603.23525
Leprot	5097.99715	2477.6474	3869.4421
Letm2	4297.083	3750.6838	5746.3566
Lhpp	7267.3978	7197.5865	8924.2207
Lipa	7284.7261	6296.7363	9017.84875
Lix1l	7198.08465	6425.6141	9722.5369
Llgl1	5358.97285	5070.0532	8082.65465
LOC100294508	7091.8384	6147.50135	8675.6183
LOC100363521	876.52265	665.0915	884.3932
LOC100365921	2058.3544	2066.31225	3116.409
LOC361635	4358.3995	4636.63595	6910.31815
LOC498122	886.29955	811.9232	1080.7897
LOC499770	4195.0859	3875.5995	5810.2787
LOC500077	937.7718	785.5336	1368.96085
LOC683897	564.6108	506.7129	847.51735
LOC691921	3415.15135	3873.95195	5253.08055
Lpin2	4277.78855	3738.26395	4613.3036
Lpin3	4414.31725	5075.34785	6531.3391
Lrp5	6108.1778	5706.75925	9293.94585
Lrrc1	714.25045	502.5653	1242.80375
Lrrc14	3628.3532	3350.23375	5642.00325
Lrrc16a	3028.7706	2989.0298	4410.25035
Lrrc32	21433.6239	15790.93075	21904.48195
Lrrc56	10561.44435	10889.0933	14171.4872
Lrrc8d	1230.57595	1678.86185	1995.7724
Lrwd1	4910.6389	5113.76875	8061.73525
Lsm10	10837.58445	9422.37425	15566.0026
Luc7l3	8301.662	7177.951	10920.94135
Lypla1	7214.5838	9230.8252	6438.7599
Lztfl1	2837.043	3102.12975	3475.14915
Lzts2	16431.1141	15116.59645	22833.7804
Mab21l2	371.5852	322.2519	451.4063
Maf1	7698.1773	7991.31235	11315.5458
Man1a2	910.2391	960.2162	1106.6593
Man2c1	1358.15855	1301.7183	1855.99795
Map2k5	1172.74435	1109.3876	1479.432
Map3k4	8443.3682	6448.5706	10090.55165
March2	7110.74965	6748.8963	9764.37315
March8	1498.67	2051.47315	1991.4128
Marcks	2738.7215	2319.5525	3900.25525
Mau2	2298.30745	2000.40615	3496.57335
Mb21d2	2987.3232	3168.1944	3604.68355
Mboat1	4397.49855	5346.28985	5525.23585
Mccc1	844.54665	845.2408	920.3193
Mcm3ap	2752.3877	2640.4491	3896.3357
Mcoln1	3326.13155	2667.98695	4557.53635
Mdc1	12591.44065	14166.3123	16447.1637
Med11	1471.0958	2195.1892	1829.0461
Megf8	9975.65885	10685.38905	16481.36335
Meis2	3635.9373	3461.47325	5078.52055
Mettl3	2603.22555	2848.27955	3357.57765
Mettl7a	1841.72565	1471.115	2974.6744
Mfsd12	7632.4767	7968.41995	11423.9263
Mgat4b	4054.1446	3884.9539	6266.6967
MGC116121	2716.6021	2739.4538	4104.8859
MGC94207	2854.75055	2624.29275	4320.9437
Mink1	3221.8726	3333.5903	4146.46875
Mipep	2459.8908	2312.6194	3148.10435
Mir199a2	19501.4365	16909.522	27248.2738
Mir3120	18266.6068	15818.52625	24347.26275
Mitf	2503.95405	2826.752	3137.6759
Mk1	9363.5219	9614.4835	16051.71295
Mknk1	1561.1598	1591.9136	1843.3506
Mknk2	8387.28345	6777.70655	13477.91535
Mkrn2	3331.8367	3068.5069	3643.363
Mlst8	5319.30945	6002.88895	7067.28545
Mlycd	3805.25265	3502.80555	5896.04705
Mmaa	1712.78055	1298.0764	2104.60545
Mnt	7548.84295	8303.76075	11079.04625
Mob2	15232.9591	11900.3293	17719.28535
Mocs2	1205.42165	1468.9694	1602.6338
Mpdz	2771.76485	2713.22995	2781.76865
Mppe1	2991.99175	2314.11245	3878.96105
Mpv17l2	6942.32335	6862.58595	11369.1292
Mre11a	2132.258	2470.84695	2622.6321
Mrpl18	1373.81785	1447.027	1776.56925
Mrpl2	10924.86865	10871.7001	15437.25915
Mrpl32	1246.10455	1347.22695	1395.6988
Mrpl44	4623.052	4916.85755	5745.06185
mrpl9	1068.5046	1312.2638	1595.1052
Mrps12	3094.25205	3029.55665	4600.34515
Mrps27	5397.32685	6263.12395	7426.39765
Mrps5	2005.2737	1421.6066	2578.5107
Mrrf	2404.2818	2473.9922	2510.536
Mrvi1	17063.9356	15199.09285	26152.64265
