NM_022184	Cask
NM_001106409	Actbl2
NM_001009693	Thrap3
NM_183328	Ssbp1
NM_001024987	Cwc15
NM_030833	Ifitm2
NM_001108958	Rtf1
NM_001015021	Dnajb11
NM_001024756	Ythdf1
NM_001007645	Mturn
NM_001013982	Orai1
NM_001191568	Pmf1
NM_001108088	Epyc
NM_182816	Amigo2
NM_001105907	Trrap
NM_001033653	Akap12
NM_053613	Rtn4r
NM_001100572	Iars
NM_001271342	Taf3
NM_001011974	Akap2
NM_001109116	Prr7
NM_001276483	Smim12
NM_133405	Cry2
NM_001107575	Taf6l
NM_001107466	Fam120b
NM_133535	Cbwd1
NM_001192011	Stard5
NM_057102	Slc25a5
NM_001031660	Msrb2
NM_001106497	Srp14
NM_019333	Pfkfb4
NM_001033693	Slc31a2
NM_001108192	Glb1
NM_001106258	Tbc1d17
NM_138892	Dctpp1
NM_012992	Npm1
NM_001135720	LOC688452
NM_001009705	Atp5sl
NM_001033757	Cdkn1c
NM_001107263	Ngdn
NM_182735	Cdkn1c
NM_001012353	MGC108823
NM_017249	Esyt1
NM_001032285	Prrt1
NM_053425	Ccs
NM_001012171	Bscl2
NM_017192	S1pr2
NM_001106607	Podxl2
NM_001109161	RGD1560108
NM_001014075	Ldah
NM_001008764	Psenen
NM_001108656	Ccne2
NM_001013241	Lzic
NM_017000	Nqo1
NM_001100531	Dlx1
NM_184049	Stk25
NM_001029898	Mrpl19
NM_212529	Hsd17b8
NM_001012050	Fbxo8
NM_001107742	Slc43a1
NM_001108494	Fam168a
NM_001107779	Trmt6
NM_001033888	Numbl
NM_013132	Anxa5
NM_001039606	Gmds
NM_001106076	Cope
NR_131096	LOC100912041
NM_001011991	Ndrg1
NM_057125	Pex6
NM_001015013	Fam89b
NM_001309521	Ift122
NM_001008322	Shmt2
NM_001108664	Msantd3
NM_001107659	Sema5a
NM_001106991	Tmem8a
NM_001271221	Hist1h4m
NM_001013081	Phyhd1
NM_001107940	Megf9
NM_053920	Trip10
NM_001107542	Usp47
NM_001105842	Rdm1
NM_001106696	Pla2g2e
NM_001009601	Klc4
NM_017165	Gpx4
NM_017279	Psma2
NM_053330	Rpl21
NM_001013969	Slc46a1
NM_001131002	Hspb11
NM_001134531	Zfp949
NM_001134540	Copa
NM_031574	Rasa3
NM_001012462	Supv3l1
NM_001012066	Sphk2
NM_001105997	Mrpl1
NM_001014072	RGD1311517
NM_017062	Pdlim4
NM_017209	Mecr
NM_001106856	Uba7
NM_024483	Adra1d
NM_001170565	Il17rc
NM_001287134	Ppp6r3
NM_001008385	Pmaip1
NM_001025130	Bag4
NM_001105742	Klf3
NM_001106586	Irf5
NM_001185047	Hcfc1r1
NM_133525	Dnph1
NM_173045	Zc3hav1
NM_012983	Myo1d
NM_001173371	Zfp609
NM_001108794	Cnot11
NM_001107241	Ahsa2
NM_001013925	Nub1
NM_001040176	Mon2
NR_132098	LOC103692984
NM_053517	Shc1
NM_001113748	Rnf26
NM_001108435	Mppe1
NM_001105999	Ankrd17
NM_022198	Clcn4
NM_001277194	Cyc1
NM_001107766	Ttbk2
NM_001191884	Nme6
NM_022500	Ftl1
NM_001109602	Alyref
NM_021581	P3h4
NM_013145	Gnai1
NM_001106268	Chsy1
NM_001108820	Gla
NM_017103	Tceb3
NM_001024237	Farsa
NM_001004443	Hexa
NM_139087	Cgref1
NM_001109255	Sspn
NM_001278483	Runx2
NM_001013163	Bmyc
NM_001003653	Pard6a
NM_001005901	Mib2
NM_138862	Spata7
NM_053310	Homer3
NM_001106543	Ncoa5
NM_001277450	Smad2
NM_001002830	Rasl11b
NM_031781	Apba3
NM_138504	Osgin1
NM_019380	Nptn
NM_031727	Limk1
NM_001106514	Mcm8
NM_133565	G3bp1
NM_138524	A3galt2
NM_001012473	Polr2c
NM_001108812	Ubxn6
NM_017068	Lamp2
NM_001191918	C1qtnf2
NM_001106655	Nans
NM_001105766	Pkmyt1
NM_053447	Hdac2
NM_001031650	Mrpl44
NM_001109607	Hint1
NM_001191805	Mcm3
NM_031623	Grb14
NM_001040190	Atcay
NM_001100823	Wdr44
NM_001012183	Cryz
NM_001005552	MGC95208
NM_001106448	Ube2q1
NM_001170334	Gfod1
NM_001033709	Alg6
NM_001107626	Ado
NM_030836	Erap1
NM_001004237	Aurkaip1
NM_001100802	Aplp1
NM_001024368	Slc10a3
NM_001002290	Kprp
NM_001109581	Lbhd1
NM_133324	Naa35
NM_001277283	Irak1bp1
NM_001106590	Slc35b4
NM_001108274	Tbc1d9b
NM_001105875	Ccdc58
NM_053346	Nrn1
NM_001107229	Depdc5
NM_001037196	Kdm8
NM_001012011	Lig3
NM_053965	Slc25a20
NM_001191924	Nlk
