BRD4_UNSTIM	BRD4_2H	BRD4_24H
Mmp14	10397.9071	13230.5816	15857.92605
Mmp19	4770.2633	4553.0984	6637.7726
Mocos	1705.358	1820.1789	2304.23355
Mrpl17	3091.05855	4415.9963	3961.97685
Mtmr1	873.41065	747.2024	1230.91955
Mtr	2286.25485	2086.647	3090.9203
Mvb12a	5439.8429	5882.6323	8568.8171
Mvp	7707.2092	7667.64755	11746.79405
Myd88	3507.18615	3568.0746	4293.08005
Myo1d	6410.8962	4789.04655	7527.8102
Myo1e	8157.0077	9660.36435	10361.2123
Myof	37485.65915	49985.00835	45382.1446
Nans	1970.85995	2205.03285	2630.46775
Nck1	1362.0898	1324.2078	1720.31305
Ndfip2	971.9096	1028.05525	1061.4637
Ndufaf3	3498.73655	3433.9513	5433.48515
Ndufb8	2207.2926	2129.0463	3033.7918
Ndufs7	4958.51325	5226.31505	7495.01255
Ndufv1	9686.1764	8803.00615	13622.24955
Nedd8	5213.15415	5943.56455	6480.51445
Nfkbie	5093.7625	5542.1441	8544.75125
Ngdn	3062.60995	3346.70325	4989.25965
Ninj1	4822.37475	4807.5608	8788.96005
Nln	1451.3172	1661.5002	1555.4635
Nme3	4500.79765	5058.2099	5757.6072
Npas2	2741.2619	4205.65435	4402.7131
Npc2	1873.55715	1873.8742	2584.6752
Npdc1	5373.372	5670.24235	8682.0195
Nptxr	7589.2383	9642.52555	14685.87645
Nqo1	3051.0581	3044.47945	4150.10915
Nr1d1	15732.31885	15122.80325	22507.7174
Nras	2942.299	3035.59465	3380.09005
Nrbp1	2954.82315	3038.6111	3049.074
Nrn1	1504.08475	1529.10585	2840.4101
Nrp1	2758.4006	1867.9319	3272.088
Nsmce2	10750.1189	15569.2298	10342.0327
Nubp2	4602.4099	5223.07255	5789.1645
Nucb1	8126.8661	8384.7221	10826.621
Nudt3	4439.06925	5068.1712	6963.86005
Oaf	3415.59965	3484.3636	5455.12025
Ogdh	1300.14495	1455.96565	1887.0824
Osbpl11	1990.57205	1950.06535	3272.84
Otub1	7340.79975	7986.3784	10977.991
Otulin	974.07635	887.33875	1517.9549
P2ry1	1441.929	1318.7476	1308.1273
P3h4	7384.5151	6918.3828	13229.6805
Pacsin2	12758.20945	12809.22625	17692.31765
Pafah1b2	8710.4238	8340.5992	10015.54215
Pank1	2923.7281	3116.77125	3870.4008
Parp3	2773.6476	2911.95935	4054.3765
Pcdhgc3	5327.6119	5069.9431	8738.67165
Pdcd2	3852.08045	3685.4234	4362.202
Pdcd6	2000.87555	2158.75505	2434.0504
Pde3a	1061.92285	899.71615	1553.47125
Pdia4	4022.1391	4196.78155	4100.76205
Pdia6	2254.16605	3287.03845	2867.13935
Pear1	3409.91735	3284.5203	4684.49455
Pebp1	3078.45815	3073.16215	4259.0291
Pepd	953.0808	873.8647	1613.3963
Pet100	603.85735	563.79505	830.90375
Pex13	1004.4139	1242.77375	1308.85465
Pex26	6323.64645	6361.97775	7940.23555
Pfkp	2376.4722	2271.6082	2688.1725
Pgam1	5158.8841	6240.78345	6926.84725
Pgd	2397.0245	2368.3959	3904.7521
Pgf	8904.48585	10328.57445	15208.3751
Pgm3	577.3784	551.1637	809.589
Pgp	4707.43785	5593.75075	6490.53325
Phlda3	23253.3693	24203.08765	35267.33715
Phyhd1	10249.5128	12903.08615	15152.5202
Pigk	673.805	590.1315	913.95405
Pin1	1976.39875	1952.06575	2546.5418
Pitpna	9586.0905	8812.2785	17543.7133
Pitpnm1	10052.93585	8612.71985	13841.2985
Pkd2	14979.8816	19908.1179	17360.10905
Pkn2	2702.2652	2428.2938	2557.88485
Pla1a	2700.30985	3403.2325	3297.49345
Pla2g4a	3570.68715	4218.70125	3202.87425
Plaa	1243.32665	1313.50675	1332.9235
Plbd2	3459.3545	3792.6332	5267.15165
Plekha4	6613.2647	6670.9212	8681.3749
Plekha5	848.7718	868.31455	1259.8399
Plekhb2	4480.33595	5259.3259	4756.7501
Plin2	6713.2856	7219.5453	8545.7321
Plrg1	528.9438	539.3414	711.17475
Pmpcb	4025.6078	4250.18645	5996.0144
Pmvk	4110.08435	3491.22125	5217.7962
Polr3gl	7123.18465	6354.2141	9685.8369
Pomgnt1	3545.5047	3972.33935	5167.4418
Por	7190.1826	8255.9166	10397.92395
Postn	3962.67145	6065.7078	2991.49035
Ppme1	2359.1118	2090.3922	2039.03565
Ppp1r14b	11526.13545	11731.74475	16716.45635
Ppp1r14c	4829.6219	5859.8324	6218.3968
Ppp2r2a	5765.528	4818.409	6710.11615
Ppp2r5a	2104.61165	2455.94785	2602.13595
Ppp2r5b	5772.564	6274.9526	8037.4053
Praf2	3002.40435	3633.99955	4025.61675
Prdx1	3293.93605	3285.1327	4028.4217
Prdx5	11653.01525	13143.67355	17281.2711
Prelid1	2135.0796	2556.03275	3689.6859
Prkar1a	2974.25625	3305.58275	3948.3848
Prkcdbp	10595.8852	11045.9573	15828.7014
Prkcsh	1177.66225	1360.7722	1821.04745
Prkg1	8073.3635	6815.5249	7910.80815
Prpsap1	3664.0862	4137.349	5793.32145
Prrx1	13636.5075	14786.90895	15461.7396
Psma5	4395.4691	3439.0827	5816.3167
Psma7	2484.3136	2121.96905	3353.64565
Psmb5	8531.20755	8186.62405	11788.3133
Psmb7	3575.63955	3622.143	4991.2965
Psmc1	2674.20875	2108.9667	3282.26825
Psmc2	2454.0514	2882.77985	3631.53175
Psmc3	5804.8844	5821.34925	7616.43115
Psmc4	3651.46365	4558.6555	7112.70165
Psmc5	3477.64245	2851.88105	4045.25525
Psmd11	1957.4796	2382.57735	2241.50225
Psmd13	8947.31165	9491.42335	12889.0173
Psmd2	4083.1102	4750.5338	5459.50865
Psmd4	6989.54525	7222.6284	8284.5005
Psmd6	599.277	671.0809	682.2022
Psmd7	6620.0694	5938.29675	10448.6686
Psmd8	2470.82935	2414.64835	3366.91525
Psme1	2091.1994	1724.77035	2889.59545
