BRD4_UNSTIM	BRD4_2H	BRD4_24H
Ascc3	1534.76625	1650.8959	1243.76305
Ascl2	9854.6442	7307.5086	13494.2118
Asf1a	2270.7061	2074.2146	2429.802
Asf1b	4369.6602	3820.84085	6005.32445
Ash1l	2674.2513	2724.70065	2791.4295
Ash2l	1752.09845	1866.77165	2271.30395
Asl	4211.2716	3494.9274	6748.2554
Asmtl	1751.1849	1811.1162	2897.9158
Asna1	11447.129	14742.64115	16829.64945
Asns	317.6155	272.525	468.2475
Asnsd1	1063.2829	1169.3228	1135.8546
Aspa	1466.76225	1192.694	1222.6327
Aspm	1529.2105	1672.644	1789.52645
Asrgl1	16982.60365	16274.41855	20175.1954
Aste1	237.30105	153.16055	307.31855
Asun	1375.9447	1087.5719	1487.09605
Atad1	7966.3882	8832.5144	8818.43525
Atad2	1991.35625	1768.58475	2420.5056
Atad2b	2873.95805	2578.712	3574.25695
Atad3a	3137.59795	3646.76015	4217.42885
Atat1	5103.4694	5667.15055	6762.0175
Atcay	4165.5355	4047.80935	6168.02695
Ate1	4741.41085	4703.8961	4993.86515
Atf1	3380.7432	3877.4459	4911.9264
Atf2	1626.4331	1781.95145	1580.18865
Atf3	184.1741	314.3904	402.6276
Atf4	6833.93705	10324.9653	10672.5483
Atf5	4415.30385	4989.59945	6996.24515
Atf6	3943.3709	5959.8287	5153.60025
Atf6b	2611.2572	2533.2348	3756.41665
Atf7	5444.9488	5212.21185	8077.33105
