brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Nap1l1	6107.04435	9377.219	6983.56375	13799.94905	31223.9365	14653.90745	183.423346430741	232.209746886835	207.588170498982	-0.425196687032379	-1.0913670247306	-0.161704296428175
Trim23	1672.6606	2085.001	1557.7148	5232.64535	4904.82225	4706.9073	8.89918555528257	3.05346203767088	11.2854036511572	-0.420616959212758	-0.0594214141402052	1.88594020708661
RGD1359158	8807.79535	9919.9463	7418.10565	19104.3286	16327.51445	13977.3239	6.14271297498532	1.42511467469409	7.90954286195797	-0.419281495730148	-0.224217016447964	2.47251630216937
Psmd10	1814.2457	1993.28025	1493.12965	4902.25435	4936.88235	2930.5592	10.9425844445695	14.687033012243	27.1440681117526	-0.416805121972539	-0.75242428346753	0.886093974687349
Cxcl16	1218.52935	2120.2475	1588.44725	4384.2878	7499.53935	4026.53505	13.7090063696822	25.4204380426972	55.633526736365	-0.416615501734848	-0.897263090801996	1.12996567327721
Rab32	2789.5695	4483.3471	3360.6392	6327.58665	9910.16385	4036.26705	9.58245022894314	14.5154984527919	11.4594812516348	-0.415840534468837	-1.29588728036718	-0.341052376443808
Rabep1	3404.92525	4456.77525	3344.12275	6345.3755	9622.5042	6418.7591	28.3837233194383	30.06320050127	31.9295066834507	-0.414372405122666	-0.584117978970003	0.0868916577395966
Fam110c	2592.96065	3456.80675	2595.29195	4158.9874	8051.77555	3901.647	0.106270742128296	0.756972699059068	0.207454040750817	-0.413543113554175	-1.04522369990822	-1.86744951095327
Caap1	1641.97505	1984.5288	1494.59295	4701.79085	4941.55195	2842.86455	6.83146225137462	7.14653280349691	10.5986926023787	-0.409043877025505	-0.797618845012058	0.568570930764514
Ascc3	1534.76625	1650.8959	1243.76305	5126.6956	5946.8395	2983.50125	10.601946113943	11.7676354724505	12.4390513794221	-0.408537488572138	-0.995116757821366	0.0800520057430627
Gpr37	828.61695	1135.958	855.94395	987.00955	1796.57325	1119.97725	0.19158686756169	0.128580612862418	1.73615539906654	-0.408321262321316	-0.681778330951936	3.75515104831061
Il1r1	8654.5069	11716.73935	8845.8608	25330.54735	32221.91745	20371.8218	27.1368590656697	56.3740515127961	16.9552545027204	-0.405496693155017	-0.661467345358057	-1.73329881563855
Tspan6	3181.1159	3530.63995	2668.9352	16369.2926	11684.71185	9524.73585	127.023653587482	147.056709446685	174.013622873552	-0.403665426249869	-0.294871169145658	0.24282764514227
Naa30	1377.0123	1989.9447	1509.1486	3940.7932	8915.1694	4354.023	5.14726589563633	12.1145971961111	7.36955342498393	-0.398993469804003	-1.03391318268213	-0.717097333084719
Tug1	119.09575	218.515	165.8065	486.268	684.05125	519.68325	17.3647249156014	13.4070756902974	19.7351085771399	-0.398231752236414	-0.396471857725839	0.557769861169523
Prss23	21724.7147	22602.65155	17158.92385	45403.08515	25967.3662	24173.84415	93.0281560130115	121.429482105925	53.5971591706557	-0.397532952533236	-0.103252782543024	-1.17989029878387
