GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
6264	Ranbp17	516.6	2714.6423	6_RASMC_H3K27AC_PDGF_24H_REP2_2549_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_2549_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_2548_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_2548_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_2548_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_NEW_3971_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_3969_lociStitched
6314	Rbl2	596.6	156.5407	5_RASMC_H3K27AC_PDGF_2H_NEW_13608_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_13608_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_13608_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_13608_lociStitched_3
7295	Snx19	393.4827	817.7106	1_RASMC_H3K27AC_UNSTIM_REP1_12794_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_12794_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_29448_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_29448_lociStitched_2,3_RASMC_H3K27AC_PDGF_24H_NEW_28131_lociStitched
6144	RGD1565685	362	57.5588	4_RASMC_H3K27AC_PDGF_2H_REP2_26933_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_26933_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_26933_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_26933_lociStitched_3
6604	Rpp30	657.1656	11837.9716	3_RASMC_H3K27AC_PDGF_2H_NEW_3014_lociStitched_1,3_RASMC_H3K27AC_PDGF_2H_NEW_3014_lociStitched_1,3_RASMC_H3K27AC_PDGF_2H_NEW_3014_lociStitched_2,17_RASMC_H3K27AC_UNSTIM_REP1_1513_lociStitched_1,17_RASMC_H3K27AC_UNSTIM_REP1_1513_lociStitched_3
8174	Trip13	518.5044	730.134	6_RASMC_H3K27AC_PDGF_2H_NEW_299_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_299_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_4,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_5
817	Brd9	525.8122	730.134	6_RASMC_H3K27AC_PDGF_2H_NEW_299_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_299_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_4,5_RASMC_H3K27AC_PDGF_24H_REP2_183_lociStitched_5
632	Atp5sl	362.3396	174.8561	6_RASMC_H3K27AC_UNSTIM_REP1_382_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_382_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_382_lociStitched_5,4_RASMC_H3K27AC_PDGF_24H_NEW_881_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_881_lociStitched_2
7346	Spata13	233.835	0	1_RASMC_H3K27AC_PDGF_2H_REP2_9434_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_9434_lociStitched_1
5429	Pi15	426.8	5087.7929	6_RASMC_H3K27AC_UNSTIM_REP1_10108_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_10108_lociStitched,7_RASMC_H3K27AC_UNSTIM_REP1_10103_lociStitched_1,7_RASMC_H3K27AC_UNSTIM_REP1_10103_lociStitched_2,7_RASMC_H3K27AC_UNSTIM_REP1_10103_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_REP1_10105_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_21692_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_22186_lociStitched
2628	Foxn3	469.6872	1272.7683	5_RASMC_H3K27AC_PDGF_24H_NEW_25665_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_25665_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_25665_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_22377_lociStitched
7813	Thrb	428.6	662.9171	6_RASMC_H3K27AC_PDGF_24H_REP2_6323_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_6323_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_6323_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_6323_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_NEW_10189_lociStitched
